Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Aeon Flux,XB,2005,Action,THQ,0.01,0,0,0,0.01
Afrika,PS3,2008,Adventure,Unknown,0.12,0,0.08,0.01,0.21
Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.08
Agatha Christie: Death on the Nile,PC,2008,Adventure,Big Fish Games,0,0.01,0,0,0.02
Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,The Adventure Company,0.07,0.02,0,0.01,0.09
Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0,0.32,0,0.07,0.39
Age of Empires III: Gold Edition,PC,2007,Strategy,Microsoft Game Studios,0,0.02,0,0.01,0.03
Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,0,0.05,0,0.01,0.07
Age of Empires: Mythologies,DS,2008,Strategy,THQ,0.17,0.03,0,0.02,0.22
Age of Empires: The Age of Kings,DS,2006,Strategy,THQ,0.19,0.02,0,0.02,0.23
AIR,PSP,2007,Adventure,Prototype,0,0,0.02,0,0.02
Air Traffic Chaos,DS,2007,Simulation,Ertain,0.05,0,0,0,0.05
Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02,0.12
AirForce Delta Strike,PS2,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0,0.01,0.11
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008,Adventure,Marvelous Interactive,0,0,0.06,0,0.06
Akai Ito DS,DS,2008,Adventure,Alchemist,0,0,0.02,0,0.02
Akane Iro ni Somaru Saka Parallel,PS2,2008,Adventure,GN Software,0,0,0.03,0,0.03
Akko ni Omakase! Brain Shock,DS,2006,Misc,Taito,0,0,0.04,0,0.04
Alfa Romeo Racing Italiano,PS2,2005,Racing,Black Bean Games,0.01,0.01,0,0,0.01
Alias,PS2,2004,Action,Acclaim Entertainment,0.05,0.04,0,0.01,0.11
Alias,XB,2004,Action,Acclaim Entertainment,0.04,0.01,0,0,0.05
Alien Hominid,PS2,2004,Shooter,Zoo Digital Publishing,0.05,0.04,0,0.01,0.1
Alien Hominid,GC,2004,Shooter,O3 Entertainment,0.07,0.02,0,0,0.09
Alien Syndrome,PSP,2007,Role-Playing,Sega,0.07,0,0,0.01,0.08
Alien Syndrome,Wii,2007,Role-Playing,Sega,0.06,0,0,0,0.06
Aliens vs Predator: Requiem,PSP,2007,Action,Vivendi Games,0.03,0.12,0,0.07,0.22
All Grown Up! Express Yourself,GBA,2004,Misc,THQ,0.13,0.05,0,0,0.18
All Grown Up!: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.17,0.06,0,0,0.24
All Star Cheer Squad,Wii,2008,Sports,THQ,0.43,0.29,0,0.08,0.8
All Star Cheer Squad,DS,2008,Sports,THQ,0.26,0,0,0.02,0.28
All-Pro Football 2K8,X360,2007,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26
All-Pro Football 2K8,PS3,2007,Sports,Take-Two Interactive,0.14,0,0,0.01,0.15
Alone in the Dark,X360,2008,Adventure,Atari,0.14,0.3,0,0.05,0.49
Alone in the Dark,Wii,2008,Adventure,Atari,0.09,0.08,0,0.02,0.18
Alone in the Dark,PS2,2008,Adventure,Atari,0.03,0.02,0,0.01,0.06
Alone in the Dark,PC,2008,Adventure,Atari,0,0.01,0,0,0.01
Alone in the Dark: Inferno,PS3,2008,Adventure,Atari,0.09,0.03,0,0.02,0.14
Alvin and the Chipmunks,DS,2007,Misc,Brash Entertainment,0.12,0,0,0.01,0.14
Alvin and the Chipmunks,PS2,2007,Misc,Brash Entertainment,0.04,0.03,0,0.01,0.07
Alvin and the Chipmunks,Wii,2007,Misc,Eidos Interactive,0.05,0,0,0,0.06
Amagoushi no Yakata,PS2,2007,Adventure,Nippon Ichi Software,0,0,0.02,0,0.02
Amazing Adventures: The Forgotten Ruins,DS,2008,Adventure,PopCap Games,0.13,0.08,0,0.02,0.24
Amazing Island,GC,2004,Strategy,Sega,0.04,0.01,0,0,0.06
America's Army: Rise of a Soldier,XB,2005,Shooter,Ubisoft,0.19,0.05,0,0.01,0.25
America's Army: True Soldiers,X360,2007,Shooter,Ubisoft,0.08,0,0,0.01,0.08
America's Next Top Model,DS,2008,Action,Eidos Interactive,0.1,0,0,0.01,0.1
American Chopper,PS2,2004,Racing,Zoo Digital Publishing,0.35,0.01,0,0.06,0.42
American Chopper,XB,2004,Racing,Zoo Digital Publishing,0.11,0.03,0,0.01,0.15
American Chopper 2: Full Throttle,PS2,2005,Racing,Zoo Digital Publishing,0.09,0.07,0,0.02,0.18
American Chopper 2: Full Throttle,GC,2005,Racing,Activision,0.04,0.01,0,0,0.05
American Chopper 2: Full Throttle,XB,2005,Racing,Zoo Digital Publishing,0.04,0.01,0,0,0.05
American Girl: Julie Finds a Way,DS,2007,Adventure,THQ,0.1,0,0,0.01,0.11
American Girl: Kit Mystery Challenge!,DS,2008,Adventure,THQ,0.42,0,0,0.03,0.46
AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,0.85,0,0,0.07,0.91
AMF Bowling Pinbusters!,DS,2008,Sports,Vir2L Studios,0.06,0,0,0,0.07
AMF Bowling World Lanes,Wii,2008,Sports,Bethesda Softworks,0.33,0,0,0.03,0.36
AMF Xtreme Bowling,PS2,2006,Sports,Mastertronic,0.01,0.01,0,0,0.02
Amped 3,X360,2005,Sports,Take-Two Interactive,0.13,0.02,0,0.01,0.16
And1 Streetball,PS2,2006,Action,Ubisoft,0.13,0.1,0,0.03,0.27
And1 Streetball,XB,2006,Action,Ubisoft,0.06,0.02,0,0,0.07
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
Animal Genius,DS,2007,Puzzle,Ubisoft,0.11,0,0,0.01,0.12
Animal Paradise,DS,2007,Simulation,Empire Interactive,0.09,0.14,0,0.02,0.25
Animaniacs: The Great Edgar Hunt,GC,2005,Platform,Ignition Entertainment,0.02,0.01,0,0,0.03
AniMates!,DS,2007,Simulation,Lexicon Entertainment,0.02,0,0,0,0.03
Anno 1701: Dawn of Discovery,DS,2007,Simulation,Touchstone,0.07,0.06,0,0.02,0.14
Anubis II,Wii,2007,Platform,Metro 3D,0.06,0,0,0,0.07
Aoishiro,PS2,2008,Adventure,Success,0,0,0.02,0,0.02
Ape Escape 3,PS2,2005,Platform,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13
Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment,0.13,0.15,0,0.05,0.33
Ape Escape Academy (jp sales),PSP,2004,Misc,Sony Computer Entertainment,0,0,0.13,0,0.14
Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,0.52,0.01,0.12,0.05,0.7
Ape Escape: Pumped & Primed,PS2,2004,Misc,Sony Computer Entertainment,0.04,0.03,0,0.01,0.08
Apollo Justice: Ace Attorney,DS,2007,Adventure,Capcom,0.32,0.06,0.64,0.04,1.06
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007,Racing,Midway Games,0.03,0.03,0,0.01,0.07
Aquanaut's Holiday: Kakusareta Kiroku,PS3,2008,Adventure,Sony Computer Entertainment,0,0,0.04,0,0.04
Aquarium by DS,DS,2008,Simulation,Mercury Games,0.05,0,0,0,0.06
Ar tonelico 2: Melody of Metafalica,PS2,2007,Role-Playing,Nippon Ichi Software,0.04,0.03,0.11,0.01,0.18
Ar tonelico: Melody of Elemia,PS2,2006,Role-Playing,505 Games,0,0,0.1,0,0.1
Arabians Lost: The Engagement on Desert,PS2,2007,Adventure,Prototype,0,0,0.02,0,0.02
Arc the Lad: End of Darkness,PS2,2004,Role-Playing,Sony Computer Entertainment,0.03,0.02,0,0.01,0.06
Arcade Shooting Gallery,Wii,2008,Shooter,Zoo Games,0.18,0,0,0.01,0.19
Arcana Heart,PS2,2007,Fighting,AQ Interactive,0.06,0.05,0.04,0.02,0.16
Archer Maclean Presents: Pool Paradise,PS2,2004,Sports,Ignition Entertainment,0.03,0.02,0,0.01,0.06
Archer Maclean Presents: Pool Paradise,GC,2004,Sports,Ignition Entertainment,0.02,0.01,0,0,0.03
Archer Maclean's Mercury,PSP,2005,Puzzle,Ignition Entertainment,0.17,0.24,0,0.14,0.56
Arctic Tale,DS,2007,Adventure,Zoo Digital Publishing,0.13,0,0,0.01,0.14
Arctic Tale,Wii,2007,Adventure,Zoo Digital Publishing,0.04,0,0,0,0.05
Are You Smarter Than A 5th Grader?,DS,2007,Misc,Mindscape,0.48,0,0,0.04,0.53
Are You Smarter than a 5th Grader? Make the Grade,Wii,2008,Misc,THQ,0.51,0,0,0.04,0.55
Are You Smarter than a 5th Grader? Make the Grade,DS,2008,Misc,THQ,0.36,0,0,0.03,0.39
Area 51,PS2,2005,Shooter,Midway Games,0.22,0.17,0,0.06,0.45
Area 51,XB,2005,Shooter,Midway Games,0.22,0.06,0,0.01,0.29
Arena Football,PS2,2006,Sports,Electronic Arts,0.28,0.22,0,0.07,0.56
Arena Football,XB,2006,Sports,Electronic Arts,0.11,0.03,0,0.01,0.15
Aria: The Natural ~Tooi Yume no Mirage~,PS2,2006,Adventure,Alchemist,0,0,0.02,0,0.02
Aria: The Origination ~Aoi Wakusei no El Cielo~,PS2,2008,Adventure,Alchemist,0,0,0.02,0,0.02
Arkanoid DS,DS,2007,Puzzle,Square Enix,0.06,0,0,0,0.06
Armored Core 4,X360,2007,Simulation,505 Games,0.19,0.01,0.03,0.02,0.25
Armored Core 4,PS3,2006,Simulation,505 Games,0.09,0,0.09,0.01,0.2
Armored Core: For Answer,PS3,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19
Armored Core: For Answer,X360,2008,Simulation,Ubisoft,0.06,0.01,0.07,0.01,0.15
Armored Core: Formula Front Extreme Battle,PSP,2004,Simulation,505 Games,0.05,0,0,0,0.05
Armored Core: Last Raven,PS2,2005,Simulation,505 Games,0.05,0.04,0.08,0.01,0.18
Armored Core: Nexus,PS2,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26
Armored Core: Nine Breaker,PS2,2004,Simulation,505 Games,0.03,0.03,0,0.01,0.07
Army Men: Major Malfunction,XB,2006,Shooter,Global Star,0.01,0,0,0,0.02
Army Men: RTS,GC,2004,Strategy,Global Star,0.05,0.01,0,0,0.07
Army Men: Sarge's War,GC,2004,Shooter,Global Star,0.12,0.03,0,0,0.15
Army Men: Sarge's War,XB,2004,Shooter,Global Star,0.09,0.02,0,0,0.11
Army Men: Soldiers of Misfortune,Wii,2008,Shooter,Zoo Games,0.12,0,0,0.01,0.13
Army Men: Soldiers of Misfortune,DS,2008,Shooter,Zoo Games,0.11,0,0,0.01,0.12
Army of Two,X360,2008,Shooter,Electronic Arts,1.09,0.38,0.02,0.16,1.65
Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17
Around the World in 80 Days,GBA,2004,Action,Hip Interactive,0.03,0.01,0,0,0.05
Art of Fighting Anthology,PS2,2006,Fighting,Crave Entertainment,0.02,0.02,0,0.01,0.04
Arthur and the Invisibles,DS,2007,Adventure,Atari,0.03,0,0,0,0.03
ASH: Archaic Sealed Heat,DS,2007,Role-Playing,Nintendo,0,0,0.12,0,0.12
Asphalt: Urban GT,DS,2004,Racing,Ubisoft,0.31,0.22,0,0.06,0.6
Asphalt: Urban GT 2,DS,2006,Racing,Ubisoft,0.09,0.04,0,0.01,0.14
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.83,4.83
Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0,0.08,0.92
Assassin's Creed: Altair's Chronicles,DS,2008,Platform,Ubisoft,0.03,0.01,0,0,0.05
Asterix & Obelix: Kick Buttix,PS2,2004,Action,Atari,0.02,0.01,0,0,0.03
Astonishia Story,PSP,2006,Role-Playing,Ubisoft,0.03,0,0,0,0.03
Astro Boy,PS2,2004,Action,Sega,0.04,0.03,0,0.01,0.09
Atari Anthology,PS2,2004,Misc,Atari,0.33,0.01,0,0.05,0.4
Atari Anthology,XB,2004,Misc,Atari,0.19,0.05,0,0.01,0.25
Atari Classics Evolved,PSP,2007,Misc,Atari,0.08,0,0,0.01,0.09
Atelier Iris 2: The Azoth Of Destiny,PS2,2005,Role-Playing,Tecmo Koei,0.03,0.02,0,0.01,0.06
Atelier Iris 3: Grand Phantasm (JP Sales),PS2,2006,Role-Playing,Tecmo Koei,0,0,0.04,0,0.04
Atelier Iris 3: Grand Phantasm (US Sales),PS2,2006,Role-Playing,Tecmo Koei,0.14,0.11,0,0.04,0.29
Atelier Iris: Eternal Mana,PS2,2004,Role-Playing,Tecmo Koei,0.08,0.06,0,0.02,0.15
Athens 2004,PS2,2004,Sports,Sony Computer Entertainment,0.13,0.1,0,0.03,0.27
Atomic Betty,GBA,2005,Puzzle,Atari,0.02,0.01,0,0,0.03
ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2
ATV Offroad Fury Pro,PSP,2006,Racing,Sony Computer Entertainment,0.37,0.04,0,0.05,0.46
ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,0.53,0,0,0.04,0.57
ATV: Quad Frenzy,DS,2005,Racing,Majesco Entertainment,0.1,0,0,0.01,0.11
ATV/Monster Truck Mayhem,DS,2007,Racing,"Destination Software, Inc",0.33,0,0,0.02,0.36
Avalon Code,DS,2008,Role-Playing,Rising Star Games,0.11,0,0.12,0.01,0.24
Avatar: The Last Airbender,GC,2006,Adventure,THQ,0.39,0.1,0,0.01,0.5
Avatar: The Last Airbender,DS,2006,Adventure,THQ,0.3,0.01,0,0.03,0.34
Avatar: The Last Airbender,Wii,2006,Adventure,THQ,0.24,0.02,0,0.02,0.28
Avatar: The Last Airbender,PSP,2006,Adventure,THQ,0.1,0,0,0.01,0.11
Avatar: The Last Airbender - Into the Inferno,PS2,2008,Adventure,THQ,0.12,0.09,0,0.03,0.25
Avatar: The Last Airbender - Into the Inferno,Wii,2008,Adventure,THQ,0.17,0.01,0,0.01,0.19
Avatar: The Last Airbender - Into the Inferno,DS,2008,Adventure,THQ,0.11,0.01,0,0.01,0.13
Avatar: The Last Airbender - The Burning Earth,PS2,2007,Action,THQ,0.21,0.16,0,0.05,0.42
Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,THQ,0.31,0,0,0.03,0.34
Avatar: The Last Airbender - The Burning Earth,Wii,2007,Action,THQ,0.24,0,0,0.02,0.26
Avatar: The Last Airbender - The Burning Earth,X360,2007,Action,THQ,0.11,0.01,0,0.01,0.14
Away: Shuffle Dungeon,DS,2008,Role-Playing,Majesco Entertainment,0.02,0,0,0,0.03
B-17: Fortress in the Sky,DS,2007,Simulation,DSI Games,0.02,0,0,0,0.02
B-Boy,PSP,2006,Misc,Sony Computer Entertainment,0.04,0,0,0,0.05
Baby Pals,DS,2007,Simulation,THQ,0.26,0.01,0,0.02,0.28
Babysitting Mania,DS,2008,Simulation,Majesco Entertainment,0.24,0,0,0.02,0.26
Back At The Barnyard: Slop Bucket Games,DS,2008,Sports,THQ,0.12,0,0,0.01,0.14
Backyard Baseball,PS2,2004,Sports,Atari,0.24,0.19,0,0.06,0.49
Backyard Baseball '09,DS,2008,Sports,Atari,0.12,0,0,0.01,0.13
Backyard Baseball '09,Wii,2008,Sports,Atari,0.04,0,0,0,0.04
Backyard Baseball '09,PS2,2008,Sports,Atari,0.01,0.01,0,0,0.02
Backyard Baseball 2006,GBA,2005,Sports,Atari,0.25,0.09,0,0.01,0.35
Backyard Basketball,GBA,2004,Sports,Atari,0.13,0.05,0,0,0.18
Backyard Hockey,DS,2007,Sports,Atari,0.07,0,0,0.01,0.07
Backyard NBA Basketball,DS,2007,Sports,Atari,0.07,0,0,0.01,0.07
Backyard NFL Football,Wii,2007,Sports,Atari,0.02,0,0,0,0.03
Backyard NFL Football,DS,2007,Sports,Atari,0.02,0,0,0,0.02
Backyard NFL Football '08,PS2,2007,Sports,Atari,0.03,0.02,0,0.01,0.06
Backyard NFL Football '09,Wii,2008,Sports,Atari,0.2,0,0,0.02,0.21
Backyard NFL Football '09,PS2,2008,Sports,Atari,0.08,0.07,0,0.02,0.17
Backyard NFL Football '09,DS,2008,Sports,Atari,0.07,0,0,0.01,0.08
Backyard NFL Football 2006,PS2,2005,Sports,Atari,0.1,0.08,0,0.03,0.2
Backyard NFL Football 2006,GBA,2005,Sports,Atari,0.02,0.01,0,0,0.03
Backyard Skateboarding 2006,GBA,2004,Sports,Atari,0.04,0.02,0,0,0.06
Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004,Fighting,Eidos Interactive,0.14,0.11,0,0.04,0.28
Backyard Wrestling 2: There Goes the Neighborhood,XB,2004,Fighting,Eidos Interactive,0.09,0.03,0,0,0.12
Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,0.56,0.44,0,0.15,1.15
Bad Boys: Miami Takedown,XB,2004,Shooter,Empire Interactive,0.14,0.04,0,0.01,0.18
Bad Boys: Miami Takedown,GC,2004,Shooter,Empire Interactive,0.03,0.01,0,0,0.05
Baja: Edge of Control,PS3,2008,Racing,THQ,0.1,0.08,0,0.04,0.21
Baja: Edge of Control,X360,2008,Racing,THQ,0.12,0.06,0,0.02,0.2
Bakumatsu Koihana: Shinsengumi DS,DS,2008,Adventure,D3Publisher,0,0,0.01,0,0.01
Bakumatsu Renka: Karyuu Kenshi-den,PS2,2007,Adventure,D3Publisher,0,0,0.02,0,0.02
Baldur's Gate: Dark Alliance,GBA,2004,Role-Playing,"Destination Software, Inc",0.02,0.01,0,0,0.03
Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,Interplay,0.34,0.26,0,0.09,0.68
Baldur's Gate: Dark Alliance II,XB,2004,Role-Playing,Acclaim Entertainment,0.19,0.06,0,0.01,0.26
Balloon Pop,Wii,2007,Puzzle,505 Games,0.04,0,0,0,0.05
Balls of Fury,Wii,2007,Sports,Zoo Digital Publishing,0.02,0,0,0,0.02
Balls of Fury,DS,2007,Sports,Zoo Digital Publishing,0.02,0,0,0,0.02
Bangai-O Spirits,DS,2008,Shooter,D3Publisher,0.07,0,0,0.01,0.08
Banjo-Kazooie,X360,2008,Platform,Microsoft Game Studios,0,0.01,0,0,0.01
Banjo-Kazooie: Nuts & Bolts,X360,2008,Platform,Microsoft Game Studios,0.32,0.36,0,0.09,0.78
Banjo-Pilot,GBA,2005,Racing,THQ,0.07,0.03,0,0,0.1
Banushi Life Game: Winner's Circle,DS,2007,Sports,Genki,0,0,0.04,0,0.04
Barbie and the Magic of Pegasus,GBA,2005,Action,Vivendi Games,0.07,0.02,0,0,0.09
Barbie as The Island Princess,Wii,2007,Adventure,Activision,0.42,0,0,0.03,0.45
Barbie as The Island Princess,DS,2007,Adventure,Activision,0.28,0.01,0,0.02,0.31
Barbie as The Island Princess,GBA,2007,Adventure,Activision,0.16,0.06,0,0,0.23
Barbie as The Island Princess,PS2,2007,Adventure,Activision,0.06,0.04,0,0.02,0.12
Barbie as the Princess and the Pauper,GBA,2004,Adventure,Vivendi Games,0.01,0,0,0,0.02
Barbie Fashion Show: An Eye for Style,DS,2008,Misc,Activision,0.19,0,0,0.02,0.21
Barbie Horse Adventures: Riding Camp,DS,2008,Sports,Activision,0.51,0,0,0.04,0.55
Barbie Horse Adventures: Riding Camp,Wii,2008,Sports,Activision,0.18,0,0,0.01,0.2
Barbie Horse Adventures: Riding Camp,PS2,2008,Sports,Activision,0.09,0.07,0,0.02,0.19
Barbie in The 12 Dancing Princesses,DS,2007,Adventure,Activision,0.09,0.01,0,0.01,0.11
Barbie Superpack: Secret Agent / Groovy Games,GBA,2005,Misc,Vivendi Games,0.1,0.04,0,0,0.15
Barnyard,GC,2006,Action,THQ,0.09,0.02,0,0,0.12
Barnyard,PS2,2006,Action,THQ,0.05,0.04,0,0.01,0.09
Barnyard,GBA,2006,Action,THQ,0.03,0.01,0,0,0.05
Barnyard,Wii,2006,Action,THQ,0.04,0,0,0,0.04
Barnyard Blast: Swine of the Night,DS,2008,Platform,Big Ben Interactive,0.02,0,0,0,0.02
Baroque,PS2,2007,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13
Baroque,Wii,2008,Role-Playing,Rising Star Games,0.07,0,0,0,0.08
Baten Kaitos Origins,GC,2006,Role-Playing,Unknown,0.06,0.02,0.02,0,0.1
Batman Begins,PS2,2005,Action,Electronic Arts,0.27,0.21,0,0.07,0.56
Batman Begins,XB,2005,Action,Electronic Arts,0.16,0.04,0,0.01,0.21
Batman Begins,GBA,2005,Action,Electronic Arts,0.12,0.05,0,0,0.17
Batman Begins,GC,2005,Action,Electronic Arts,0.11,0.03,0,0,0.15
Battalion Wars,GC,2005,Strategy,Nintendo,0.25,0.07,0.07,0.01,0.4
Battalion Wars 2,Wii,2007,Strategy,Nintendo,0.22,0.03,0.08,0.02,0.35
Battle Assault 3 featuring Gundam Seed,PS2,2004,Action,Namco Bandai Games,0.02,0.01,0,0,0.03
Battle Fantasia,X360,2008,Fighting,505 Games,0.07,0,0.01,0.01,0.09
Battle Fantasia,PS3,2008,Fighting,505 Games,0,0,0.01,0,0.01
Battle of Giants: Dinosaurs,DS,2008,Strategy,Ubisoft,0.38,0.37,0,0.09,0.83
Battle Rage,Wii,2008,Shooter,Popcorn Arcade,0.04,0,0,0,0.04
Battle Stadium D.O.N,PS2,2006,Fighting,Namco Bandai Games,0,0,0.15,0,0.15
Battle Stadium D.O.N,GC,2006,Fighting,Namco Bandai Games,0,0,0.09,0,0.09
