Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
PS2,2006,Adventure,Alchemist,0,0,0.02,0,0.02,,,,,,
PS2,2008,Adventure,Alchemist,0,0,0.02,0,0.02,,,,,,
DS,2007,Puzzle,Square Enix,0.06,0,0,0,0.06,61,29,7,5,Taito Corporation,E
X360,2007,Simulation,505 Games,0.19,0.01,0.03,0.02,0.25,65,31,7.2,31,From Software,T
PS3,2006,Simulation,505 Games,0.09,0,0.09,0.01,0.2,65,36,6.8,25,From Software,T
PS3,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19,62,22,7.6,31,From Software,T
X360,2008,Simulation,Ubisoft,0.06,0.01,0.07,0.01,0.15,64,22,7.7,38,From Software,T
PSP,2004,Simulation,505 Games,0.05,0,0,0,0.05,,,,,,
PS2,2005,Simulation,505 Games,0.05,0.04,0.08,0.01,0.18,59,16,8.9,14,From Software,T
PS2,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26,73,19,8.7,7,From Software,T
PS2,2004,Simulation,505 Games,0.03,0.03,0,0.01,0.07,57,25,8.2,5,From Software,T
XB,2006,Shooter,Global Star,0.01,0,0,0,0.02,36,6,4,5,Team 17,T
GC,2004,Strategy,Global Star,0.05,0.01,0,0,0.07,,,8.5,4,Pandemic Studios,T
GC,2004,Shooter,Global Star,0.12,0.03,0,0,0.15,56,11,6.7,7,3DO,T
XB,2004,Shooter,Global Star,0.09,0.02,0,0,0.11,44,26,tbd,,Tactical Development,T
Wii,2008,Shooter,Zoo Games,0.12,0,0,0.01,0.13,,,2.5,6,Big Blue Bubble Inc.,E
DS,2008,Shooter,Zoo Games,0.1,0,0,0.01,0.11,35,4,tbd,,Big Blue Entertainment,E
X360,2008,Shooter,Electronic Arts,1.09,0.37,0.02,0.16,1.64,72,76,7.6,233,EA Montreal,M
PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,74,43,7.3,118,EA Montreal,M
GBA,2004,Action,Hip Interactive,0.03,0.01,0,0,0.05,40,9,tbd,,Saffire,E
PS2,2006,Fighting,Crave Entertainment,0.02,0.02,0,0.01,0.04,60,19,7,4,SNK Playmore,T
DS,2007,Adventure,Atari,0.03,0,0,0,0.03,,,,,,
DS,2007,Role-Playing,Nintendo,0,0,0.12,0,0.12,,,,,Mistwalker,E10+
DS,2004,Racing,Ubisoft,0.31,0.22,0,0.06,0.59,60,38,7.5,13,Gameloft,E
DS,2006,Racing,Ubisoft,0.09,0.04,0,0.01,0.14,,,6.9,13,Virtuos,E10+
X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1074,Ubisoft Montreal,M
PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.82,4.82,81,40,7.3,769,Ubisoft Montreal,M
PC,2008,Adventure,Ubisoft,0.01,0.83,0,0.07,0.91,,,,,,
DS,2008,Platform,Ubisoft,0.03,0.01,0,0,0.05,58,30,6.3,30,Gameloft,T
PS2,2004,Action,Atari,0.02,0.01,0,0,0.03,,,,,,
PSP,2006,Role-Playing,Ubisoft,0.03,0,0,0,0.03,48,35,4.9,18,Sonnori,E10+
PS2,2004,Action,Sega,0.04,0.03,0,0.01,0.09,54,29,6.9,7,Sonic Team,E
PS2,2004,Misc,Atari,0.33,0.01,0,0.05,0.4,66,12,4.3,6,Digital Eclipse,E
XB,2004,Misc,Atari,0.19,0.05,0,0.01,0.25,68,15,tbd,,Digital Eclipse,E
PSP,2007,Misc,Atari,0.08,0,0,0.01,0.09,64,17,6,4,Stainless Games,E
PS2,2005,Role-Playing,Tecmo Koei,0.03,0.02,0,0.01,0.06,68,34,7.8,14,Gust,E10+
PS2,2006,Role-Playing,Tecmo Koei,0,0,0.04,0,0.04,,,,,,
PS2,2006,Role-Playing,Tecmo Koei,0.14,0.11,0,0.04,0.29,,,,,,
PS2,2004,Role-Playing,Tecmo Koei,0.08,0.06,0,0.02,0.15,74,38,7.7,38,Gust,T
PS2,2004,Sports,Sony Computer Entertainment,0.13,0.1,0,0.03,0.27,61,57,7.2,13,Eurocom Entertainment Software,E
GBA,2005,Puzzle,Atari,0.02,0.01,0,0,0.03,62,10,7.5,6,"Big Blue Bubble Inc., Breakthrough New Media",E
PS2,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2,78,37,8.4,16,Climax Group,E
PSP,2006,Racing,Sony Computer Entertainment,0.37,0.03,0,0.04,0.45,76,32,tbd,,"Climax Group, Climax Studios",E
PSP,2005,Racing,SouthPeak Games,0.53,0,0,0.04,0.57,63,32,7.8,16,Climax Group,E
DS,2007,Racing,"Destination Software, Inc",0.33,0,0,0.02,0.36,,,,,,
DS,2005,Racing,Majesco Entertainment,0.1,0,0,0.01,0.11,35,5,tbd,,Skyworks Technologies,E
DS,2008,Role-Playing,Rising Star Games,0.11,0,0.12,0.01,0.24,71,29,7.4,13,"Matrix Software, Marvelous Entertainment",E10+
GC,2006,Adventure,THQ,0.39,0.1,0,0.01,0.5,60,10,6.5,4,AWE Games,E10+
DS,2006,Adventure,THQ,0.3,0.01,0,0.03,0.33,64,9,6.4,7,TOSE,E
Wii,2006,Adventure,THQ,0.23,0.02,0,0.02,0.28,56,15,5.8,8,AWE Games,E10+
PSP,2006,Adventure,THQ,0.1,0,0,0.01,0.11,57,9,6.3,10,TOSE,E10+
PS2,2008,Adventure,THQ,0.12,0.09,0,0.03,0.25,,,,,,
Wii,2008,Adventure,THQ,0.17,0.01,0,0.01,0.19,,,,,,
DS,2008,Adventure,THQ,0.11,0.01,0,0.01,0.12,,,,,,
PS2,2007,Action,THQ,0.21,0.16,0,0.05,0.42,,,,,,
DS,2007,Action,THQ,0.31,0,0,0.03,0.34,,,,,,
Wii,2007,Action,THQ,0.23,0,0,0.02,0.25,,,,,,
X360,2007,Action,THQ,0.11,0.01,0,0.01,0.13,,,,,,
DS,2008,Role-Playing,Majesco Entertainment,0.02,0,0,0,0.03,65,17,tbd,,"Mistwalker, Artoon",E10+
DS,2007,Simulation,DSI Games,0.02,0,0,0,0.02,38,4,tbd,,SkyRiver Studios,E10+
DS,2007,Simulation,THQ,0.26,0.01,0,0.02,0.28,,,tbd,,Brain Toys,E
DS,2008,Simulation,Majesco Entertainment,0.24,0,0,0.02,0.26,,,tbd,,iWin,E
DS,2008,Sports,THQ,0.12,0,0,0.01,0.13,49,4,tbd,,THQ,E
PS2,2004,Sports,Atari,0.24,0.19,0,0.06,0.49,,,7.2,10,Humongous Entertainment,E
DS,2008,Sports,Atari,0.11,0,0,0.01,0.12,,,tbd,,Humongous Entertainment,E
Wii,2008,Sports,Atari,0.04,0,0,0,0.04,37,4,7.8,5,Humongous Entertainment,E
PS2,2008,Sports,Atari,0.01,0.01,0,0,0.02,,,tbd,,Humongous Entertainment,E
GBA,2005,Sports,Atari,0.25,0.09,0,0.01,0.35,,,,,,
GBA,2004,Sports,Atari,0.13,0.05,0,0,0.18,,,tbd,,Mistic Software,E
DS,2007,Sports,Atari,0.06,0,0,0,0.06,,,tbd,,Mistic Software,E
DS,2007,Sports,Atari,0.07,0,0,0.01,0.08,,,,,,
Wii,2007,Sports,Atari,0.02,0,0,0,0.03,,,,,,
DS,2007,Sports,Atari,0.02,0,0,0,0.02,,,,,,
PS2,2007,Sports,Atari,0.03,0.02,0,0.01,0.06,,,,,,
Wii,2008,Sports,Atari,0.2,0,0,0.02,0.21,,,,,,
PS2,2008,Sports,Atari,0.08,0.07,0,0.02,0.17,,,,,,
DS,2008,Sports,Atari,0.06,0,0,0.01,0.07,,,,,,
PS2,2005,Sports,Atari,0.1,0.08,0,0.03,0.2,,,,,,
GBA,2005,Sports,Atari,0.02,0.01,0,0,0.03,,,,,,
GBA,2004,Sports,Atari,0.04,0.02,0,0,0.06,,,,,,
PS2,2004,Fighting,Eidos Interactive,0.14,0.11,0,0.04,0.28,46,23,4.7,10,Paradox Development,M
XB,2004,Fighting,Eidos Interactive,0.09,0.03,0,0,0.12,43,17,tbd,,Paradox Development,M
PS2,2004,Shooter,Empire Interactive,0.56,0.44,0,0.15,1.15,43,5,3.4,13,Blitz Games,M
XB,2004,Shooter,Empire Interactive,0.14,0.04,0,0.01,0.18,35,20,5.9,9,Blitz Games,M
GC,2004,Shooter,Empire Interactive,0.03,0.01,0,0,0.05,35,11,2,9,Blitz Games,M
PS3,2008,Racing,THQ,0.1,0.08,0,0.03,0.21,61,21,5,11,2XL Games,E
X360,2008,Racing,THQ,0.12,0.06,0,0.02,0.2,65,35,7.1,18,2XL Games,E
DS,2008,Adventure,D3Publisher,0,0,0.01,0,0.01,,,,,,
PS2,2007,Adventure,D3Publisher,0,0,0.02,0,0.02,,,,,,
GBA,2004,Role-Playing,"Destination Software, Inc",0.02,0.01,0,0,0.03,76,17,6.5,11,Magic Pockets,T
PS2,2004,Role-Playing,Interplay,0.34,0.26,0,0.09,0.68,78,44,8.7,54,Black Isle Studios,T
XB,2004,Role-Playing,Acclaim Entertainment,0.19,0.06,0,0.01,0.26,77,44,7.9,16,Black Isle Studios,T
Wii,2007,Puzzle,505 Games,0.04,0,0,0,0.05,,,tbd,,UFO Interactive,E
Wii,2007,Sports,Zoo Digital Publishing,0.02,0,0,0,0.02,19,6,2.8,25,Black Lantern Studios,E10+
DS,2007,Sports,Zoo Digital Publishing,0.02,0,0,0,0.02,62,7,tbd,,Black Lantern Studios,E10+
DS,2008,Shooter,D3Publisher,0.07,0,0,0.01,0.08,83,38,8.1,27,Treasure,E10+
X360,2008,Platform,Microsoft Game Studios,0,0.01,0,0,0.01,77,17,8.2,70,4J Studios,E
X360,2008,Platform,Microsoft Game Studios,0.32,0.35,0,0.08,0.76,,,,,,
GBA,2005,Racing,THQ,0.07,0.03,0,0,0.1,68,22,5.9,9,Rare Ltd.,E
DS,2007,Sports,Genki,0,0,0.04,0,0.04,,,,,,
GBA,2005,Action,Vivendi Games,0.07,0.02,0,0,0.09,,,tbd,,WayForward,E
Wii,2007,Adventure,Activision,0.42,0,0,0.03,0.45,,,tbd,,"Human Soft, Ivolgamus",E
DS,2007,Adventure,Activision,0.28,0.01,0,0.02,0.31,,,tbd,,"Human Soft, Ivolgamus",E
GBA,2007,Adventure,Activision,0.16,0.06,0,0,0.23,,,,,,
PS2,2007,Adventure,Activision,0.06,0.04,0,0.02,0.12,,,tbd,,"Human Soft, Ivolgamus",E
GBA,2004,Adventure,Vivendi Games,0.01,0,0,0,0.02,,,tbd,,WayForward,E
DS,2008,Misc,Activision,0.18,0,0,0.01,0.19,,,,,,
DS,2008,Sports,Activision,0.5,0,0,0.04,0.55,,,tbd,,Activision,E
PS2,2008,Sports,Activision,0.09,0.07,0,0.02,0.19,,,tbd,,Pixel Tales,E
Wii,2008,Sports,Activision,0.17,0,0,0.01,0.19,,,tbd,,Activision,E
DS,2007,Adventure,Activision,0.09,0.01,0,0.01,0.1,,,tbd,,WayForward,E
GBA,2005,Misc,Vivendi Games,0.1,0.04,0,0,0.15,,,,,,
GC,2006,Action,THQ,0.09,0.02,0,0,0.12,66,12,tbd,,Blue Tongue Entertainment,E10+
PS2,2006,Action,THQ,0.05,0.04,0,0.01,0.09,62,13,8.7,10,Blue Tongue Entertainment,E10+
GBA,2006,Action,THQ,0.03,0.01,0,0,0.05,56,8,tbd,,Halfbrick Studios,E
Wii,2006,Action,THQ,0.04,0,0,0,0.04,65,15,5.7,7,Blue Tongue Entertainment,E10+
DS,2008,Platform,Big Ben Interactive,0.02,0,0,0,0.02,,,tbd,,"Sanuk Software Co., Ltd., Sanuk Games",E10+
PS2,2007,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13,60,6,8.8,44,Sting,T
