game_name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,user_score,game_id
All-Pro Football 2K8,PS3,2007,Sports,Take-Two Interactive,0.14,0,0,0.01,0.15,73,7.3,170
Alone in the Dark,X360,2008,Adventure,Atari,0.14,0.3,0,0.05,0.48,58,5.7,171
Alone in the Dark,Wii,2008,Adventure,Atari,0.09,0.08,0,0.02,0.18,39,4.4,171
Alone in the Dark,PS2,2008,Adventure,Atari,0.03,0.02,0,0.01,0.06,47,5.4,171
Alone in the Dark,PC,2008,Adventure,Atari,0,0.01,0,0,0.01,55,5.7,171
Alone in the Dark: Inferno,PS3,2008,Adventure,Atari,0.09,0.03,0,0.02,0.13,69,5.6,172
Alvin and the Chipmunks,PS2,2007,Misc,Brash Entertainment,0.04,0.03,0,0.01,0.07,33,4.5,173
Alvin and the Chipmunks,Wii,2007,Misc,Eidos Interactive,0.05,0,0,0,0.05,30,3.6,173
Amazing Island,GC,2004,Strategy,Sega,0.04,0.01,0,0,0.06,59,6.6,176
America's Army: Rise of a Soldier,XB,2005,Shooter,Ubisoft,0.19,0.05,0,0.01,0.25,70,7.4,181
America's Army: True Soldiers,X360,2007,Shooter,Ubisoft,0.08,0,0,0.01,0.08,43,6.7,182
American Chopper,PS2,2004,Racing,Zoo Digital Publishing,0.35,0.01,0,0.06,0.42,47,7.5,177
American Chopper,XB,2004,Racing,Zoo Digital Publishing,0.11,0.03,0,0.01,0.15,44,5.9,177
AMF Xtreme Bowling,PS2,2006,Sports,Mastertronic,0.01,0.01,0,0,0.02,30,4.2,186
Amped 3,X360,2005,Sports,Take-Two Interactive,0.13,0.02,0,0.01,0.16,72,7.1,187
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73,7.6,189
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86,8.7,190
AniMates!,DS,2007,Simulation,Lexicon Entertainment,0.02,0,0,0,0.03,33,2.5,194
Anno 1701: Dawn of Discovery,DS,2007,Simulation,Touchstone,0.07,0.05,0,0.01,0.13,78,7.5,195
Anubis II,Wii,2007,Platform,Metro 3D,0.06,0,0,0,0.07,19,2.7,196
Ape Escape 3,PS2,2005,Platform,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,77,8.5,198
Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment,0.13,0.15,0,0.05,0.33,51,5.8,199
Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,0.52,0,0.12,0.05,0.7,66,6.4,201
Apollo Justice: Ace Attorney,DS,2007,Adventure,Capcom,0.28,0.04,0.64,0.03,0.99,78,8.1,203
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007,Racing,Midway Games,0.03,0.03,0,0.01,0.07,37,5.9,204
Ar tonelico: Melody of Elemia,PS2,2006,Role-Playing,505 Games,0,0,0.1,0,0.1,71,7.7,208
Arc the Lad: End of Darkness,PS2,2004,Role-Playing,Sony Computer Entertainment,0.03,0.02,0,0.01,0.06,59,4.2,210
Arcana Heart,PS2,2007,Fighting,AQ Interactive,0.06,0.05,0.04,0.02,0.16,77,8.1,212
Archer Maclean's Mercury,PSP,2005,Puzzle,Ignition Entertainment,0.17,0.24,0,0.14,0.56,75,6.6,214
Area 51,PS2,2005,Shooter,Midway Games,0.22,0.17,0,0.06,0.45,75,8.4,218
Area 51,XB,2005,Shooter,Midway Games,0.22,0.06,0,0.01,0.29,72,8.1,218
Arena Football,PS2,2006,Sports,Electronic Arts,0.28,0.22,0,0.07,0.56,66,8.6,219
Arena Football,XB,2006,Sports,Electronic Arts,0.11,0.03,0,0.01,0.15,65,8.5,219
Arkanoid DS,DS,2007,Puzzle,Square Enix,0.06,0,0,0,0.06,61,7,222
Armored Core 4,X360,2007,Simulation,505 Games,0.19,0.01,0.03,0.02,0.25,65,7.2,223
Armored Core 4,PS3,2006,Simulation,505 Games,0.09,0,0.09,0.01,0.2,65,6.8,223
Armored Core: For Answer,PS3,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19,62,7.6,224
Armored Core: For Answer,X360,2008,Simulation,Ubisoft,0.06,0.01,0.07,0.01,0.15,64,7.7,224
Armored Core: Last Raven,PS2,2005,Simulation,505 Games,0.05,0.04,0.08,0.01,0.18,59,8.9,226
Armored Core: Nexus,PS2,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26,73,8.7,227
Armored Core: Nine Breaker,PS2,2004,Simulation,505 Games,0.03,0.03,0,0.01,0.07,57,8.2,228
Army Men: Major Malfunction,XB,2006,Shooter,Global Star,0.01,0,0,0,0.02,36,4,229
Army Men: Sarge's War,GC,2004,Shooter,Global Star,0.12,0.03,0,0,0.15,56,6.7,231
Army of Two,X360,2008,Shooter,Electronic Arts,1.09,0.37,0.02,0.16,1.64,72,7.6,233
Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,74,7.3,233
Art of Fighting Anthology,PS2,2006,Fighting,Crave Entertainment,0.02,0.02,0,0.01,0.04,60,7,235
Asphalt: Urban GT,DS,2004,Racing,Ubisoft,0.31,0.22,0,0.06,0.59,60,7.5,238
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81,7.7,240
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.82,4.82,81,7.3,240
Assassin's Creed: Altair's Chronicles,DS,2008,Platform,Ubisoft,0.03,0.01,0,0,0.05,58,6.3,241
Astonishia Story,PSP,2006,Role-Playing,Ubisoft,0.03,0,0,0,0.03,48,4.9,243
Astro Boy,PS2,2004,Action,Sega,0.04,0.03,0,0.01,0.09,54,6.9,244
Atari Anthology,PS2,2004,Misc,Atari,0.33,0.01,0,0.05,0.4,66,4.3,245
Atari Classics Evolved,PSP,2007,Misc,Atari,0.08,0,0,0.01,0.09,64,6,246
Atelier Iris 2: The Azoth Of Destiny,PS2,2005,Role-Playing,Tecmo Koei,0.03,0.02,0,0.01,0.06,68,7.8,247
Atelier Iris: Eternal Mana,PS2,2004,Role-Playing,Tecmo Koei,0.08,0.06,0,0.02,0.15,74,7.7,250
Athens 2004,PS2,2004,Sports,Sony Computer Entertainment,0.13,0.1,0,0.03,0.27,61,7.2,251
Atomic Betty,GBA,2005,Puzzle,Atari,0.02,0.01,0,0,0.03,62,7.5,252
ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2,78,8.4,253
ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,0.53,0,0,0.04,0.57,63,7.8,255
Avalon Code,DS,2008,Role-Playing,Rising Star Games,0.11,0,0.12,0.01,0.24,71,7.4,258
Avatar: The Last Airbender,GC,2006,Adventure,THQ,0.39,0.1,0,0.01,0.5,60,6.5,259
Avatar: The Last Airbender,DS,2006,Adventure,THQ,0.3,0.01,0,0.03,0.33,64,6.4,259
Avatar: The Last Airbender,Wii,2006,Adventure,THQ,0.23,0.02,0,0.02,0.28,56,5.8,259
Avatar: The Last Airbender,PSP,2006,Adventure,THQ,0.1,0,0,0.01,0.11,57,6.3,259
B-Boy,PSP,2006,Misc,Sony Computer Entertainment,0.04,0,0,0,0.05,50,7.8,322
Backyard Baseball '09,Wii,2008,Sports,Atari,0.04,0,0,0,0.04,37,7.8,268
Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004,Fighting,Eidos Interactive,0.14,0.11,0,0.04,0.28,46,4.7,278
Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,0.56,0.44,0,0.15,1.15,43,3.4,279
Bad Boys: Miami Takedown,XB,2004,Shooter,Empire Interactive,0.14,0.04,0,0.01,0.18,35,5.9,279
Bad Boys: Miami Takedown,GC,2004,Shooter,Empire Interactive,0.03,0.01,0,0,0.05,35,2,279
Baja: Edge of Control,PS3,2008,Racing,THQ,0.1,0.08,0,0.03,0.21,61,5,280
Baja: Edge of Control,X360,2008,Racing,THQ,0.12,0.06,0,0.02,0.2,65,7.1,280
Baldur's Gate: Dark Alliance,GBA,2004,Role-Playing,"Destination Software, Inc",0.02,0.01,0,0,0.03,76,6.5,283
Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,Interplay,0.34,0.26,0,0.09,0.68,78,8.7,284
Baldur's Gate: Dark Alliance II,XB,2004,Role-Playing,Acclaim Entertainment,0.19,0.06,0,0.01,0.26,77,7.9,284
Balls of Fury,Wii,2007,Sports,Zoo Digital Publishing,0.02,0,0,0,0.02,19,2.8,286
Bangai-O Spirits,DS,2008,Shooter,D3Publisher,0.07,0,0,0.01,0.08,83,8.1,287
Banjo-Kazooie,X360,2008,Platform,Microsoft Game Studios,0,0.01,0,0,0.01,77,8.2,288
Banjo-Pilot,GBA,2005,Racing,THQ,0.07,0.03,0,0,0.1,68,5.9,290
Barnyard,PS2,2006,Action,THQ,0.05,0.04,0,0.01,0.09,62,8.7,299
Barnyard,Wii,2006,Action,THQ,0.04,0,0,0,0.04,65,5.7,299
Baroque,PS2,2007,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13,60,8.8,301
Baroque,Wii,2008,Role-Playing,Rising Star Games,0.07,0,0,0.01,0.07,50,8.1,301
Baten Kaitos Origins,GC,2006,Role-Playing,Unknown,0.06,0.02,0.02,0,0.1,75,8.9,302
Batman Begins,PS2,2005,Action,Electronic Arts,0.27,0.21,0,0.07,0.56,64,7.3,303
Batman Begins,XB,2005,Action,Electronic Arts,0.16,0.04,0,0.01,0.21,65,7.1,303
Batman Begins,GBA,2005,Action,Electronic Arts,0.12,0.05,0,0,0.17,61,6.9,303
Batman Begins,GC,2005,Action,Electronic Arts,0.11,0.03,0,0,0.15,66,7.2,303
Battalion Wars,GC,2005,Strategy,Nintendo,0.25,0.07,0.07,0.01,0.4,76,8.8,304
Battalion Wars 2,Wii,2007,Strategy,Nintendo,0.22,0.02,0.08,0.02,0.34,75,7.6,305
Battle Assault 3 featuring Gundam Seed,PS2,2004,Action,Namco Bandai Games,0.02,0.01,0,0,0.03,48,8.7,306
Battle Fantasia,X360,2008,Fighting,505 Games,0.07,0,0.01,0.01,0.09,71,6.6,307
Battlefield 2,PC,2005,Shooter,Electronic Arts,0,0.07,0,0.01,0.08,91,8.4,312
Battlefield 2: Modern Combat,XB,2005,Shooter,Electronic Arts,0.39,0.15,0,0.02,0.56,80,8.2,313
Battlefield 2: Modern Combat,PS2,2005,Shooter,Electronic Arts,0.37,0.01,0,0.06,0.44,80,8.5,313
Battlefield 2: Modern Combat,X360,2006,Shooter,Electronic Arts,0.35,0.02,0.01,0.03,0.41,77,7.3,313
Battlefield 2142,PC,2006,Shooter,Electronic Arts,0,0.02,0,0,0.03,80,6.8,315
Battlefield Vietnam,PC,2004,Shooter,Electronic Arts,0,0.02,0,0,0.03,84,7.5,316
Battlefield: Bad Company,X360,2008,Shooter,Electronic Arts,0.81,0.46,0.04,0.15,1.46,83,7.7,317
Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,0.76,0.35,0.05,0.18,1.34,84,8.1,317
Battles of Prince of Persia,DS,2005,Strategy,Ubisoft,0.1,0.01,0,0.01,0.12,64,7.7,318
Battlestations: Midway,X360,2007,Strategy,Eidos Interactive,0.21,0.02,0,0.02,0.26,73,7.1,320
Battlestations: Midway,PC,2007,Strategy,Eidos Interactive,0,0.01,0,0,0.01,76,7.3,320
Beat Down: Fists of Vengeance,PS2,2005,Action,Capcom,0.04,0.03,0.09,0.01,0.17,48,8.1,323
BeatMania,PS2,2006,Simulation,Konami Digital Entertainment,0.03,0.03,0,0.01,0.07,67,8.9,325
Beautiful Katamari,X360,2007,Puzzle,Namco Bandai Games,0.14,0.02,0.15,0.02,0.32,73,7,330
Bee Movie Game,Wii,2007,Action,Activision,0.3,0.01,0,0.03,0.33,62,7.6,331
Bee Movie Game,X360,2007,Action,Activision,0.16,0,0,0.01,0.17,71,5.8,331
Bee Movie Game,PS2,2007,Action,Activision,0.05,0.04,0,0.01,0.1,65,7.5,331
Bejeweled Twist,PC,2008,Puzzle,PopCap Games,0.01,0.04,0,0.01,0.05,78,7.3,334
Ben 10: Alien Force,Wii,2008,Action,Koch Media,0.52,0.21,0,0.07,0.8,45,7.8,336
Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.54,0.55,0,0.13,1.23,63,7.7,337
Ben 10: Protector of Earth,PSP,2007,Action,D3Publisher,0.23,0.3,0,0.18,0.71,60,7.2,337
Beowulf: The Game,X360,2007,Action,Ubisoft,0.36,0.01,0,0.03,0.4,51,4.7,339
Beowulf: The Game,PS3,2007,Action,Ubisoft,0.14,0.01,0,0.01,0.16,51,5.2,339
Beowulf: The Game,PSP,2007,Action,Ubisoft,0.08,0,0,0.01,0.09,44,5.4,339
Beyblade G-Revolution,GBA,2004,Action,Atari,0.15,0.05,0,0,0.2,40,7.8,342
Big Beach Sports,Wii,2008,Sports,THQ,0.45,1.02,0,0.2,1.66,44,8,344
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74,7.4,345
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.05,1.91,0.41,0.42,3.79,68,6.9,346
Big Mutha Truckers 2,PS2,2005,Racing,Xplosiv,0.1,0.07,0,0.03,0.2,51,2.1,350
Big Mutha Truckers 2,XB,2005,Racing,Empire Interactive,0.05,0.02,0,0,0.07,50,3.4,350
Bionicle Heroes,GC,2006,Shooter,Eidos Interactive,0.08,0.02,0,0,0.11,51,5.2,354
Bionicle Heroes,X360,2006,Shooter,Eidos Interactive,0.05,0.01,0,0.01,0.07,59,5.9,354
Bionicle Heroes,DS,2006,Shooter,Eidos Interactive,0.06,0,0,0,0.06,72,6.4,354
Bionicle Heroes,Wii,2007,Shooter,Eidos Interactive,0.03,0,0,0,0.04,52,5.8,354
BioShock,X360,2007,Shooter,Take-Two Interactive,1.65,0.85,0.05,0.28,2.83,96,8.9,355
BioShock,PS3,2008,Shooter,Take-Two Interactive,0.75,0.46,0.01,0.2,1.42,94,8.7,355
BioShock,PC,2007,Shooter,Take-Two Interactive,0.01,0.39,0,0.02,0.41,96,8.5,355
Black,PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25,79,8.4,356
Black,XB,2006,Shooter,Electronic Arts,0.31,0.09,0,0.01,0.42,77,8,356
Blacksite: Area 51,X360,2007,Shooter,Midway Games,0.29,0.22,0,0.06,0.57,62,6.1,359
Blacksite: Area 51,PS3,2007,Shooter,Midway Games,0.07,0.01,0,0.01,0.08,56,6.3,359
Blade Dancer: Lineage of Light,PSP,2006,Role-Playing,Atari,0.05,0,0,0,0.06,60,6.9,360
Bladestorm: The Hundred Years' War,PS3,2007,Action,Tecmo Koei,0.1,0.03,0.14,0.02,0.28,58,7.9,361
Bladestorm: The Hundred Years' War,X360,2007,Action,Tecmo Koei,0.08,0.01,0,0.01,0.09,63,6.8,361
"Blast Works: Build, Trade, Destroy",Wii,2008,Shooter,Eidos Interactive,0.09,0,0,0.01,0.1,78,7.7,362
Blazing Angels 2: Secret Missions of WWII,PS3,2007,Simulation,Ubisoft,0.1,0.03,0,0.02,0.15,70,7.2,364
Blazing Angels 2: Secret Missions of WWII,X360,2007,Simulation,Ubisoft,0.11,0.02,0,0.01,0.14,72,7.8,364
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,0.74,0.04,0,0.06,0.83,57,6.7,365
Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft,0.35,0.22,0,0.1,0.66,67,6.9,365
Blazing Angels: Squadrons of WWII,X360,2006,Simulation,Ubisoft,0.36,0.02,0,0.03,0.42,66,7.9,365
Blazing Angels: Squadrons of WWII,XB,2006,Simulation,Ubisoft,0.06,0.02,0,0,0.08,69,6.8,365
Blazing Angels: Squadrons of WWII,PC,2006,Simulation,Ubisoft,0.02,0,0,0,0.02,65,4.6,365
Bleach: Dark Souls,DS,2007,Fighting,Sega,0.12,0.02,0,0.01,0.15,82,7.9,370
Bleach: Shattered Blade,Wii,2006,Fighting,Sega,0.21,0.01,0.08,0.02,0.32,58,7.5,378
Bleach: The 3rd Phantom,DS,2008,Role-Playing,Sega,0.1,0.02,0.07,0.01,0.2,59,8,380
Bleach: The Blade of Fate,DS,2006,Fighting,Sega,0.29,0.01,0.12,0.03,0.45,83,7.5,381
Blitz: The League,PS2,2005,Sports,Unknown,0.74,0.03,0,0.12,0.89,76,8,385
Blitz: The League,XB,2004,Sports,Midway Games,0.4,0.11,0,0.02,0.53,78,7.7,385
Blitz: The League,X360,2006,Sports,Midway Games,0.15,0,0,0.01,0.16,69,6.5,385
Blitz: The League II,PS3,2008,Sports,Midway Games,0.11,0.02,0,0.02,0.15,62,7.5,386
Blitz: The League II,X360,2008,Sports,Midway Games,0.08,0.01,0,0.01,0.1,68,7.2,386
BloodRayne 2,PS2,2004,Shooter,THQ,0.13,0.1,0,0.03,0.27,70,8.5,391
BloodRayne 2,XB,2004,Shooter,THQ,0.11,0.03,0,0.01,0.15,71,8.5,391
Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.3,0.32,0.21,0.08,0.92,79,7.8,392
Blue Dragon Plus,DS,2008,Role-Playing,Ignition Entertainment,0.12,0.03,0.05,0.01,0.21,69,6.5,393
Boktai 2: Solar Boy Django,GBA,2004,Role-Playing,Konami Digital Entertainment,0.03,0.01,0,0,0.04,78,8.5,397
Bolt,Wii,2008,Adventure,Disney Interactive Studios,0.19,0.31,0,0.06,0.56,50,5.8,400
Bolt,X360,2008,Adventure,Disney Interactive Studios,0.18,0.05,0,0.02,0.25,57,7.1,400
Bolt,PS3,2008,Adventure,Disney Interactive Studios,0.12,0.04,0,0.02,0.19,59,6.8,400
Bomberman,PSP,2006,Puzzle,Konami Digital Entertainment,0.14,0,0,0.01,0.15,73,7,401
Bomberman,DS,2005,Puzzle,Ubisoft,0.1,0.01,0.03,0.01,0.15,75,7,401
Bomberman Land,Wii,2007,Misc,Rising Star Games,0.11,0.01,0.03,0.01,0.17,57,8,404
Bomberman Land,PSP,2007,Misc,Hudson Entertainment,0.06,0,0,0,0.06,55,7.8,404
Bomberman: Act Zero,X360,2006,Puzzle,Konami Digital Entertainment,0.04,0,0,0,0.04,34,2.2,408
Boogie,Wii,2007,Misc,Electronic Arts,0.43,0.03,0,0.04,0.49,57,5.3,409
Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.71,0.38,0,0.12,1.21,85,8.6,413
Bounty Hounds,PSP,2006,Action,Namco Bandai Games,0.03,0,0,0,0.03,63,6,415
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77,7.1,416
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77,7.9,417
Brain Boost: Beta Wave,DS,2005,Puzzle,505 Games,0.14,0,0,0.01,0.15,39,2.5,419
Brain Challenge,DS,2008,Misc,Ubisoft,0.41,0,0,0.03,0.45,68,7,421
Bratz: Rock Angelz,PS2,2005,Misc,THQ,0.19,0.15,0,0.05,0.38,60,5.1,431
Breakdown,XB,2004,Adventure,Electronic Arts,0.09,0.03,0,0,0.12,71,8.2,438
Brothers In Arms DS,DS,2007,Shooter,Ubisoft,0.03,0,0,0,0.04,72,8,441
Brothers In Arms: D-Day,PSP,2006,Shooter,Ubisoft,0.23,0.14,0,0.09,0.46,65,9.1,442
Brothers in Arms: Double Time,Wii,2008,Shooter,Ubisoft,0.11,0,0,0.01,0.13,45,6.6,443
Brothers In Arms: Earned in Blood,PS2,2005,Shooter,Ubisoft,0.38,0.01,0,0.06,0.46,71,7.9,444
Brothers In Arms: Earned in Blood,XB,2005,Shooter,Ubisoft,0.23,0.07,0,0.01,0.31,85,8.6,444
Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,0.44,0.34,0,0.15,0.93,76,8,445
Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.3,0,0.09,0.87,76,8.3,445
Brothers in Arms: Hell's Highway,PC,2008,Shooter,Ubisoft,0,0.02,0,0,0.02,79,7.9,445
Brothers In Arms: Road to Hill 30,XB,2005,Shooter,Ubisoft,0.49,0.14,0,0.02,0.66,88,8,446
Brothers In Arms: Road to Hill 30,PS2,2005,Shooter,Ubisoft,0.38,0.01,0,0.06,0.46,82,7.6,446
Brunswick Pro Bowling,Wii,2007,Sports,505 Games,0.35,0.01,0,0.03,0.38,52,5.4,447
Bubble Bobble Double Shot,DS,2007,Puzzle,Rising Star Games,0.03,0,0,0,0.04,50,4.8,448
Bubble Bobble Revolution,DS,2005,Puzzle,Atari,0.04,0,0,0,0.05,38,6.2,450
Build-A-Bear Workshop,DS,2007,Simulation,Game Factory,0.85,0.01,0,0.07,0.93,61,4.8,451
Bullet Witch,X360,2006,Shooter,Atari,0.07,0.01,0.02,0.01,0.1,55,6.1,453
Bully,PS2,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94,87,9.1,454
Bully: Scholarship Edition,X360,2008,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.06,80,8.3,455
Bully: Scholarship Edition,Wii,2008,Action,Take-Two Interactive,0.17,0.28,0,0.06,0.5,83,8.4,455
Bully: Scholarship Edition,PC,2008,Action,Take-Two Interactive,0,0.02,0,0,0.03,72,7.5,455
Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,1.23,1.11,0,0.34,2.68,93,9.1,457
Burnout 3: Takedown,XB,2004,Racing,Electronic Arts,0.84,0.43,0,0.04,1.31,94,7.2,457
Burnout Dominator,PSP,2007,Racing,Electronic Arts,0.02,0.38,0.01,0.05,0.45,76,8.2,458
Burnout Legends,PSP,2005,Racing,Electronic Arts,0.7,0.05,0,0.08,0.84,86,8.4,459
Burnout Legends,DS,2005,Racing,Electronic Arts,0.15,0.02,0,0.01,0.18,38,6,459
Burnout Paradise,PS3,2008,Racing,Electronic Arts,1.01,0.62,0.02,0.29,1.94,87,7.7,460
Burnout Paradise,X360,2008,Racing,Electronic Arts,0.63,0.57,0.01,0.14,1.35,88,6.9,460
Burnout Revenge,PS2,2005,Racing,Electronic Arts,0.75,0.03,0,0.12,0.9,90,8.8,461
Burnout Revenge,XB,2005,Racing,Electronic Arts,0.32,0.19,0,0.01,0.53,89,8.4,461
Burnout Revenge,X360,2006,Racing,Electronic Arts,0.42,0.04,0,0.04,0.5,89,8.1,461
